ds,y
01-28-00,62458.69
01-29-00,62436.0
01-30-00,62459.16
01-31-00,62508.0
01-32-01,62537.06
01-33-01,62600.0
01-34-01,62604.11
01-35-01,62636.36
01-36-01,62582.23
01-37-01,62621.21
01-38-01,62592.33
01-39-01,62616.0
01-40-02,62629.15
01-41-02,62712.49
01-42-02,62646.67
01-43-02,62672.0
01-44-02,62646.69
01-45-02,62612.42
01-46-02,62661.6
01-47-02,62629.17
01-48-02,62590.79
01-49-03,62608.01
01-50-03,62608.01
01-51-03,62599.9
01-52-03,62614.93
01-53-03,62654.0
01-54-03,62659.78
01-55-03,62664.0
01-56-03,62651.99
01-57-03,62636.36
01-58-03,62655.02
01-59-04,62619.9
02-00-04,62636.27
02-01-04,62619.92
02-02-04,62639.99
02-03-04,62708.94
02-04-04,62724.99
02-05-04,62742.11
02-06-04,62745.37
02-07-04,62668.01
02-08-05,62676.46
02-09-05,62702.41
02-10-05,62745.25
02-11-05,62807.13
02-12-05,62783.45
02-13-05,62795.37
02-14-05,62774.76
02-15-05,62815.58
02-16-05,62879.99
02-17-06,62768.12
02-18-06,62793.54
02-19-06,62803.4
02-20-06,62767.98
02-21-06,62700.01
02-22-06,62709.99
02-23-06,62714.0
02-24-06,62727.27
02-25-06,62732.0
02-26-06,62739.14
02-27-07,62720.01
02-28-07,62727.27
02-29-07,62757.57
02-30-07,62738.09
02-31-07,62706.0
02-32-07,62690.12
02-33-07,62696.0
02-34-07,62698.01
02-35-08,62705.99
02-36-08,62709.27
02-37-08,62654.1
02-38-08,62656.49
02-39-08,62618.46
02-40-08,62627.95
02-41-08,62593.78
02-42-08,62587.41
02-43-08,62520.82
02-44-09,62473.99
02-45-09,62468.0
02-46-09,62436.6
02-47-09,62461.18
02-48-09,62504.0
02-49-09,62542.37
02-50-09,62537.97
02-51-09,62510.0
02-52-09,62548.0
02-53-10,62570.73
02-54-10,62566.37
02-55-10,62575.76
02-56-10,62504.0
02-57-10,62503.56
02-58-10,62498.96
02-59-10,62528.37
03-00-10,62529.89
03-01-10,62507.41
03-02-11,62500.0
03-03-11,62479.97
03-04-11,62471.25
03-05-11,62429.9
03-06-11,62444.0
03-07-11,62457.99
03-08-12,62461.98
03-09-12,62489.99
03-10-12,62462.09
03-11-12,62372.55
03-12-12,62366.01
03-13-12,62340.5
03-14-12,62342.67
03-15-12,62342.0
03-16-12,62384.0
03-17-13,62446.0
03-18-13,62480.0
03-19-13,62480.8
03-20-13,62496.0
03-21-13,62491.65
03-22-13,62485.91
03-23-13,62517.09
03-24-14,62497.98
03-25-14,62474.35
03-26-14,62499.66
03-27-14,62515.73
03-28-14,62515.15
03-29-14,62537.62
03-30-14,62553.29
03-31-14,62593.48
03-32-14,62595.64
03-33-15,62623.11
03-34-15,62560.0
03-35-15,62566.37
03-36-15,62480.17
03-37-15,62469.46
03-38-15,62424.0
03-39-15,62411.99
03-40-15,62444.89
03-41-15,62404.11
03-42-16,62420.0
03-43-16,62375.49
03-44-16,62400.22
03-45-16,62378.0
03-46-16,62370.0
03-47-16,62409.96
03-48-16,62379.99
03-49-16,62413.99
03-50-16,62447.99
03-51-17,62416.0
03-52-17,62430.76
03-53-17,62440.88
03-54-17,62435.9
03-55-17,62449.09
03-56-17,62425.09
03-57-17,62426.01
03-58-17,62440.0
03-59-17,62423.55
04-00-18,62435.99
04-01-18,62437.11
04-02-18,62463.78
04-03-18,62470.01
04-04-18,62499.98
04-05-18,62500.0
04-06-18,62505.99
04-07-18,62525.98
04-08-18,62553.26
04-09-18,62553.25
04-10-19,62559.72
04-11-19,62554.01
04-12-19,62558.0
04-13-19,62515.15
04-14-19,62500.0
04-15-19,62515.12
04-16-19,62525.99
04-17-19,62530.0
04-18-19,62520.0
04-19-19,62523.35
04-20-20,62510.0
04-21-20,62506.01
04-22-20,62523.34
04-23-20,62528.63
04-24-20,62560.0
04-25-20,62555.06
04-26-20,62563.99
04-27-20,62570.87
04-28-20,62570.86
04-29-21,62578.32
04-30-21,62578.33
04-31-21,62564.12
04-32-21,62556.01
04-33-21,62618.0
04-34-21,62645.9
04-35-21,62653.99
04-36-21,62665.7
04-37-21,62676.07
04-38-21,62666.73
04-39-22,62712.93
04-40-22,62650.66
04-41-22,62660.05
04-42-22,62666.78
04-43-22,62662.84
04-44-22,62659.22
04-45-22,62646.67
04-46-22,62673.99
04-47-22,62636.38
04-48-23,62652.83
04-49-23,62667.69
04-50-23,62670.18
04-51-23,62709.99
04-52-23,62713.8
04-53-23,62719.99
04-54-23,62721.93
04-55-23,62721.94
04-56-23,62721.93
04-57-23,62721.93
04-58-24,62739.99
04-59-24,62734.32
05-00-24,62706.91
05-01-24,62693.98
05-02-24,62687.98
05-03-24,62687.98
05-04-24,62657.46
05-05-24,62679.99
05-06-24,62663.62
05-07-25,62685.99
05-08-25,62667.79
05-09-25,62685.52
05-10-25,62668.89
05-11-25,62652.05
05-12-25,62632.0
05-13-25,62610.67
05-14-25,62633.99
05-15-26,62646.0
05-16-26,62624.01
05-17-26,62638.0
05-18-26,62627.99
05-19-26,62635.24
05-20-26,62647.61
05-21-26,62636.36
05-22-26,62674.0
05-23-26,62678.0
05-24-27,62672.01
05-25-27,62637.48
05-26-27,62616.3
05-27-27,62626.0
05-28-27,62614.16
05-29-27,62628.96
05-30-27,62649.99
05-31-27,62663.99
05-32-27,62670.0
05-33-28,62657.55
05-34-28,62655.02
05-35-28,62636.36
05-36-28,62622.01
05-37-28,62658.55
05-38-28,62666.0
05-39-28,62655.84
05-40-29,62655.84
05-41-29,62634.99
05-42-29,62626.01
05-43-29,62659.84
05-44-29,62614.01
05-45-29,62624.0
05-46-29,62646.0
05-47-29,62626.01
05-48-30,62633.56
05-49-30,62640.09
05-50-30,62651.99
05-51-30,62652.8
05-52-30,62679.9
05-53-30,62677.99
05-54-30,62674.0
05-55-30,62675.37
05-56-30,62666.66
05-57-30,62665.73
05-58-31,62713.54
05-59-31,62749.99
06-00-31,62767.99
06-01-31,62771.67
06-02-31,62780.84
06-03-31,62770.0
06-04-31,62759.99
06-05-31,62760.56
06-06-32,62720.0
06-07-32,62712.01
06-08-32,62724.0
06-09-32,62730.0
06-10-32,62736.0
06-11-32,62763.49
06-12-32,62762.0
06-13-32,62758.45
06-14-32,62691.01
06-15-33,62708.97
06-16-33,62720.0
06-17-33,62764.0
06-18-33,62757.58
06-19-33,62744.66
06-20-33,62755.0
06-21-33,62768.01
06-22-33,62814.99
06-23-33,62826.0
06-24-34,62836.0
06-25-34,62874.55
06-26-34,62853.04
06-27-34,62852.0
06-28-34,62862.0
06-29-34,62869.99
06-30-34,62869.99
06-31-34,62878.39
06-32-34,62952.01
06-33-35,63006.6
06-34-35,62972.0
06-35-35,62940.0
06-36-35,62960.0
06-37-35,62884.01
06-38-35,62914.32
06-39-35,62958.0
06-40-35,62926.55
06-41-35,62926.53
06-42-35,62919.9
06-43-36,62910.21
06-44-36,62893.84
06-45-36,62864.52
06-46-36,62850.0
06-47-36,62842.51
06-48-36,62842.51
06-49-36,62842.52
06-50-36,62818.18
06-51-36,62859.99
06-52-37,62870.99
06-53-37,62903.7
06-54-37,62949.99
06-55-37,62900.0
06-56-37,62896.71
06-57-37,62900.39
06-58-37,62898.16
06-59-37,62895.11
07-00-37,62899.99
07-01-37,62917.49
07-02-38,62962.64
07-03-38,63052.62
07-04-38,63112.93
07-05-38,63070.01
07-06-38,63054.0
07-07-38,62978.01
07-08-38,62984.0
07-09-38,63008.01
07-10-39,62984.01
07-11-39,62994.0
07-12-39,63040.0
07-13-39,62934.0
07-14-39,62995.3
07-15-39,63034.01
07-16-39,62972.0
07-17-39,62980.0
07-18-39,62985.99
07-19-39,62959.91
07-20-40,62972.01
07-21-40,62952.56
07-22-40,62936.53
07-23-40,62950.78
07-24-40,62924.0
07-25-40,62910.01
07-26-40,62859.91
07-27-40,62795.99
07-28-40,62792.16
07-29-41,62776.0
07-30-41,62818.18
07-31-41,62779.91
07-32-41,62757.58
07-33-41,62740.0
07-34-41,62772.02
07-35-41,62782.01
07-36-41,62811.29
07-37-41,62780.47
07-38-41,62848.49
07-39-42,62838.98
07-40-42,62849.99
07-41-42,62875.49
07-42-42,62830.0
07-43-42,62830.01
07-44-42,62800.0
07-45-42,62813.81
07-46-42,62837.29
07-47-42,62798.16
07-48-43,62818.48
07-49-43,62818.49
07-50-43,62832.0
07-51-43,62800.0
07-52-43,62811.82
07-53-43,62824.0
07-54-43,62792.0
07-55-43,62734.31
07-56-43,62780.0
07-57-43,62823.02
07-58-44,62835.47
07-59-44,62835.46
08-00-44,62818.19
08-01-44,62820.0
08-02-44,62785.02
08-03-44,62768.0
08-04-44,62752.94
08-05-45,62755.95
08-06-45,62719.37
08-07-45,62690.0
08-08-45,62704.04
08-09-45,62686.68
08-10-45,62688.0
08-11-45,62689.06
08-12-45,62693.99
08-13-45,62695.95
08-14-45,62693.47
08-15-46,62710.37
08-16-46,62700.01
08-17-46,62672.87
08-18-46,62661.29
08-19-46,62642.96
08-20-46,62655.99
08-21-46,62676.48
08-22-46,62687.73
08-23-46,62701.99
08-24-46,62700.01
08-25-47,62667.18
08-26-47,62690.0
08-27-47,62692.01
08-28-47,62682.0
08-29-47,62692.01
08-30-47,62720.0
08-31-47,62722.26
08-32-47,62722.6
08-33-47,62749.99
08-34-48,62765.49
08-35-48,62784.79
08-36-48,62720.42
08-37-48,62755.99
08-38-48,62754.76
08-39-48,62770.0
08-40-49,62764.27
08-41-49,62780.54
08-42-49,62808.0
08-43-49,62800.99
08-44-49,62797.22
08-45-49,62832.89
08-46-49,62843.44
08-47-49,62848.48
08-48-49,62810.38
08-49-49,62798.0
08-50-49,62786.47
08-51-50,62799.99
08-52-50,62814.99
08-53-50,62840.0
08-54-50,62865.35
08-55-50,62881.55
08-56-50,62878.07
08-57-50,62892.86
08-58-50,62878.79
08-59-50,62870.02
09-00-51,62881.99
09-01-51,62855.69
09-02-51,62841.71
09-03-51,62862.36
09-04-51,62827.0
09-05-51,62800.0
09-06-51,62828.0
09-07-51,62767.5
09-08-51,62754.0
09-09-51,62737.68
09-10-52,62720.01
09-11-52,62722.01
09-12-52,62722.95
09-13-52,62723.33
09-14-52,62697.1
09-15-52,62735.55
09-16-52,62699.96
09-17-53,62588.0
09-18-53,62552.1
09-19-53,62622.51
09-20-53,62640.91
09-21-53,62680.0
09-22-53,62643.81
